id,data,label
00174,1c11f735dc713d96,idle
0018c,d8f564135be6128e,idle
001c8,bd0040fb06671ad1,idle
0037f,8fadc1a606cb0fb3,idle
00383,c4b032ccd7c524a5,idle
003ea,a3d70628ece66fa2,idle
003eb,8b002434e465e150,idle
00434,5cabcc97663f1c97,idle
0043b,89463e85759cde66,idle
00445,88bd64072bcfbe01,idle
004a1,3b982ef8daf61a26,idle
0050c,366eb16f508ebad7,idle
00562,17be31111a2a73ed,idle
00571,27cd813047229389,idle
005c9,c5e7ce8a3a578a8e,idle
0060e,8d5288f1142c3fe8,idle
00614,5d65a441d58842de,idle
006b6,b2b9437a28df6ec4,idle
006c0,0000ca6e0822e8f3,idle
007fc,757750a9a491f0b2,idle
00174,1c11f735dc713d96,idle
0018c,d8f564135be6128e,idle
001c8,bd0040fb06671ad1,idle
0037f,8fadc1a606cb0fb3,idle
00383,c4b032ccd7c524a5,idle
003ea,a3d70628ece66fa2,idle
003eb,8b002434e465e150,idle
00434,5cabcc97663f1c97,idle
0043b,89463e85759cde66,idle
00445,88bd64072bcfbe01,idle
004a1,3b982ef8daf61a26,idle
0050c,366eb16f508ebad7,idle
00562,17be31111a2a73ed,idle
00571,27cd813047229389,idle
005c9,c5e7ce8a3a578a8e,idle
0060e,8d5288f1142c3fe8,idle
00614,5d65a441d58842de,idle
006b6,b2b9437a28df6ec4,idle
006c0,0000ca6e0822e8f3,idle
007fc,757750a9a491f0b2,idle
00174,1c11f735dc713d96,idle
0018c,d8f564135be6128e,idle
001c8,bd0040fb06671ad1,idle
0037f,8fadc1a606cb0fb3,idle
00383,c4b032ccd7c524a5,idle
003ea,a3d70628ece66fa2,idle
003eb,8b002434e465e150,idle
00434,5cabcc97663f1c97,idle
0043b,89463e85759cde66,idle
00445,88bd64072bcfbe01,idle
004a1,3b982ef8daf61a26,idle
0050c,366eb16f508ebad7,idle
00562,17be31111a2a73ed,idle
00571,27cd813047229389,idle
005c9,c5e7ce8a3a578a8e,idle
0060e,8d5288f1142c3fe8,idle
00614,5d65a441d58842de,idle
006b6,b2b9437a28df6ec4,idle
006c0,0000ca6e0822e8f3,idle
007fc,757750a9a491f0b2,idle
00174,1c11f735dc713d96,idle
0018c,d8f564135be6128e,idle
001c8,bd0040fb06671ad1,idle
0037f,8fadc1a606cb0fb3,idle
00383,ce177b4e0837b8a3,idle
003ea,fd5166e6451b4cf3,idle
003eb,8b002434e465e150,idle
00434,7e570ddf827050a8,idle
0043b,89463e85759cde66,idle
00445,88bd64072bcfbe01,idle
004a1,3b982ef8daf61a26,idle
0050c,e9c349e03602f8ac,idle
00562,17be31111a2a73ed,idle
00571,27cd813047229389,idle
005c9,a9488d990bbb2599,idle
0060e,8d5288f1142c3fe8,idle
00614,5d65a441d58842de,idle
006b6,b2b9437a28df6ec4,idle
006c0,0000ca6e0822e8f3,idle
007fc,43cf2fde24933b83,idle
00174,1c11f735dc713d96,idle
0018c,d8f564135be6128e,idle
001c8,bd0040fb06671ad1,idle
0037f,8fadc1a606cb0fb3,idle
00383,ce177b4e0837b8a3,idle
003ea,fd5166e6451b4cf3,idle
003eb,8b002434e465e150,idle
00434,7e570ddf827050a8,idle
0043b,89463e85759cde66,idle
00445,88bd64072bcfbe01,idle
004a1,3b982ef8daf61a26,idle
0050c,e9c349e03602f8ac,idle
00562,17be31111a2a73ed,idle
00571,27cd813047229389,idle
005c9,a9488d990bbb2599,idle
0060e,8d5288f1142c3fe8,idle
00614,5d65a441d58842de,idle
006b6,b2b9437a28df6ec4,idle
006c0,0000ca6e0822e8f3,idle
007fc,43cf2fde24933b83,idle
00174,1c11f735dc713d96,idle
0018c,d8f564135be6128e,idle
001c8,bd0040fb06671ad1,idle
0037f,8fadc1a606cb0fb3,idle
00383,ce177b4e0837b8a3,idle
003ea,fd5166e6451b4cf3,idle
003eb,8b002434e465e150,idle
00434,7e570ddf827050a8,idle
0043b,89463e85759cde66,idle
00445,88bd64072bcfbe01,idle
004a1,3b982ef8daf61a26,idle
0050c,e9c349e03602f8ac,idle
00562,17be31111a2a73ed,idle
00571,27cd813047229389,idle
005c9,a9488d990bbb2599,idle
0060e,8d5288f1142c3fe8,idle
00614,5d65a441d58842de,idle
006b6,b2b9437a28df6ec4,idle
006c0,0000ca6e0822e8f3,idle
007fc,43cf2fde24933b83,idle
00174,1c11f735dc713d96,idle
0018c,d8f564135be6128e,idle
001c8,bd0040fb06671ad1,idle
0037f,8fadc1a606cb0fb3,idle
00383,d261a7ab3aa2e4f9,idle
003ea,6123fdf77656af72,idle
003eb,8b002434e465e150,idle
00434,7e570ddf827050a8,idle
0043b,89463e85759cde66,idle
00445,a28defe39bf00273,idle
004a1,19db3ad0ddd1dfb2,idle
0050c,10f1bc81448aaa9e,idle
00562,17be31111a2a73ed,idle
00571,27cd813047229389,idle
005c9,11ce5dd2b45ed1f0,idle
0060e,8d5288f1142c3fe8,idle
00614,5ec42e0829a3b2e9,idle
006b6,b2b9437a28df6ec4,idle
006c0,0000ca6e0822e8f3,idle
007fc,757750a9a491f0b2,idle
00174,1c11f735dc713d96,idle
0018c,d8f564135be6128e,idle
001c8,bd0040fb06671ad1,idle
0037f,8fadc1a606cb0fb3,idle
00383,d261a7ab3aa2e4f9,idle
003ea,6123fdf77656af72,idle
003eb,8b002434e465e150,idle
00434,7e570ddf827050a8,idle
0043b,89463e85759cde66,idle
00445,a28defe39bf00273,idle
004a1,19db3ad0ddd1dfb2,idle
0050c,10f1bc81448aaa9e,idle
00562,17be31111a2a73ed,idle
00571,27cd813047229389,idle
005c9,11ce5dd2b45ed1f0,idle
0060e,8d5288f1142c3fe8,idle
00614,5ec42e0829a3b2e9,idle
006b6,b2b9437a28df6ec4,idle
006c0,0000ca6e0822e8f3,idle
007fc,757750a9a491f0b2,idle
00174,1c11f735dc713d96,idle
0018c,d8f564135be6128e,idle
001c8,bd0040fb06671ad1,idle
0037f,8fadc1a606cb0fb3,idle
00383,d261a7ab3aa2e4f9,idle
003ea,6123fdf77656af72,idle
003eb,8b002434e465e150,idle
00434,7e570ddf827050a8,idle
0043b,89463e85759cde66,idle
00445,a28defe39bf00273,idle
004a1,19db3ad0ddd1dfb2,idle
0050c,10f1bc81448aaa9e,idle
00562,17be31111a2a73ed,idle
00571,27cd813047229389,idle
005c9,11ce5dd2b45ed1f0,idle
0060e,8d5288f1142c3fe8,idle
00614,5ec42e0829a3b2e9,idle
006b6,b2b9437a28df6ec4,idle
006c0,0000ca6e0822e8f3,idle
007fc,757750a9a491f0b2,idle
00174,a0a04dc427209bdf,idle
0018c,d8f564135be6128e,idle
001c8,bd0040fb06671ad1,idle
0037f,8fadc1a606cb0fb3,idle
00383,c4b032ccd7c524a5,idle
003ea,6123fdf77656af72,idle
003eb,8b002434e465e150,idle
00434,7e570ddf827050a8,idle
0043b,89463e85759cde66,idle
00445,88bd64072bcfbe01,idle
004a1,19db3ad0ddd1dfb2,idle
0050c,b7c93acfe059a0ee,idle
00562,17be31111a2a73ed,idle
00571,27cd813047229389,idle
005c9,a9488d990bbb2599,idle
0060e,8d5288f1142c3fe8,idle
00614,5ec42e0829a3b2e9,idle
006b6,b2b9437a28df6ec4,idle
006c0,0000ca6e0822e8f3,idle
007fc,757750a9a491f0b2,idle
00174,a0a04dc427209bdf,idle
0018c,d8f564135be6128e,idle
001c8,bd0040fb06671ad1,idle
0037f,8fadc1a606cb0fb3,idle
00383,c4b032ccd7c524a5,idle
003ea,6123fdf77656af72,idle
003eb,8b002434e465e150,idle
00434,7e570ddf827050a8,idle
0043b,89463e85759cde66,idle
00445,88bd64072bcfbe01,idle
004a1,19db3ad0ddd1dfb2,idle
0050c,b7c93acfe059a0ee,idle
00562,17be31111a2a73ed,idle
00571,27cd813047229389,idle
005c9,a9488d990bbb2599,idle
0060e,8d5288f1142c3fe8,idle
00614,5ec42e0829a3b2e9,idle
006b6,b2b9437a28df6ec4,idle
006c0,0000ca6e0822e8f3,idle
007fc,757750a9a491f0b2,idle
00174,a0a04dc427209bdf,idle
0018c,d8f564135be6128e,idle
001c8,bd0040fb06671ad1,idle
0037f,8fadc1a606cb0fb3,idle
00383,c4b032ccd7c524a5,idle
003ea,6123fdf77656af72,idle
003eb,8b002434e465e150,idle
00434,7e570ddf827050a8,idle
0043b,89463e85759cde66,idle
00445,88bd64072bcfbe01,idle
004a1,19db3ad0ddd1dfb2,idle
0050c,b7c93acfe059a0ee,idle
00562,17be31111a2a73ed,idle
00571,27cd813047229389,idle
005c9,a9488d990bbb2599,idle
0060e,8d5288f1142c3fe8,idle
00614,5ec42e0829a3b2e9,idle
006b6,b2b9437a28df6ec4,idle
006c0,0000ca6e0822e8f3,idle
007fc,757750a9a491f0b2,idle
00174,1c11f735dc713d96,idle
0018c,d8f564135be6128e,idle
001c8,bd0040fb06671ad1,idle
0037f,8fadc1a606cb0fb3,idle
00383,d261a7ab3aa2e4f9,idle
003ea,fd5166e6451b4cf3,idle
003eb,8b002434e465e150,idle
00434,956269f0e5d7b875,idle
