id,data,timestamp,action
00089,c386c08fab4e7efe,1715613526.20612,SteerLeft
00597,42c1807d7a59e351,1715613526.20714,SteerLeft
004f6,1f55d43428c1a509,1715613526.20816,SteerLeft
00246,9a99fa5599116ba4,1715613526.20923,SteerLeft
0044f,518bbb36ef427749,1715613526.21033,SteerLeft
0021e,2b884a562ff97200,1715613526.21134,SteerLeft
002c3,288c938bf19f43fa,1715613526.21235,SteerLeft
00509,ccec705c630c7af7,1715613526.21336,SteerLeft
0076f,8ed8bc1a3abba221,1715613526.21438,SteerLeft
000fb,08f90848f55f7bac,1715613526.2154,SteerLeft
00039,51a77205f007abae,1715613526.21642,SteerLeft
00550,2f9586b0821d2b55,1715613526.21743,SteerLeft
00273,ce2554fcd15feb5a,1715613526.21844,SteerLeft
00075,daa600f0c13a007c,1715613526.21945,SteerLeft
0011a,4ba434d30ba754a6,1715613526.22046,SteerLeft
00550,9c41be8a22090ef6,1715613526.22147,SteerLeft
00005,ac226055c0d6b04b,1715613526.22248,SteerLeft
007c1,c33bad5eea0040d7,1715613526.2235,SteerLeft
000fb,d0ce11665e432b76,1715613526.22451,SteerLeft
006d7,c94d41875b2bbc0e,1715613526.22553,SteerLeft
002c5,f3207b047e7744c4,1715613526.23124,SteerLeft
0039a,ea7e735613797f75,1715613526.23242,SteerLeft
0079e,0358f65513510922,1715613526.23344,SteerLeft
000fc,bf71c236531a9f87,1715613526.23446,SteerLeft
002af,de97f783a1fb6c97,1715613526.23547,SteerLeft
003a4,326f3bf7eccad871,1715613526.23649,SteerLeft
00261,de8e4ed69c8facf8,1715613526.23751,SteerLeft
0013e,2a550d9795276793,1715613526.23852,SteerLeft
003f1,d71b7627e4de7c34,1715613526.2396,SteerLeft
00724,267f1892b0c1b6cc,1715613526.24067,SteerLeft
00089,e9cb8533778a18e8,1715613526.24182,SteerLeft
00597,42c1807d7a59e351,1715613526.24288,SteerLeft
004f6,43bc42e7cf3a0b39,1715613526.2439,SteerLeft
00246,5f7530d6e0e4f519,1715613526.24492,SteerLeft
0044f,518bbb36ef427749,1715613526.24594,SteerLeft
0021e,2b884a562ff97200,1715613526.24695,SteerLeft
002c3,288c938bf19f43fa,1715613526.24797,SteerLeft
